"Rank","City","County","State","Average VantageScore 3.0 Credit Score",""
"421","Council Bluffs","Pottawattamie County","Iowa","675",""
"422","Waterloo","Black Hawk County","Iowa","674",""
"423","Davenport","Scott County","Iowa","674",""
"424","Grand Junction","Greene County","Iowa","673",""
"425","Des Moines","Polk County","Iowa","671",""
"426","Evansdale","Black Hawk County","Iowa","670",""
"427","Eldon","Wapello County","Iowa","670",""
"428","Sioux City","Woodbury County","Iowa","670",""
"429","Hazleton","Buchanan County","Iowa","667",""
"430","Keokuk","Lee County","Iowa","667",""
"431","Tama","Tama County","Iowa","656",""
"432","Carter Lake","Pottawattamie County","Iowa","652",""
